#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=5.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 08:32:37
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(5)' coupled to the particle 'H3+'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_i3: Fixed value 2000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_i3: 10 calculated values between 1.0000e+15 and 1.0000e+17

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_i3          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+15    7.34624303e-28     
   1.0000        1.0000e+18    1.6681e+15    7.34624303e-28     
   1.0000        1.0000e+18    2.7826e+15    7.34624303e-28     
   1.0000        1.0000e+18    4.6416e+15    7.34624303e-28     
   1.0000        1.0000e+18    7.7426e+15    7.34624303e-28     
   1.0000        1.0000e+18    1.2915e+16    7.34624303e-28     
   1.0000        1.0000e+18    2.1544e+16    7.34624303e-28     
   1.0000        1.0000e+18    3.5938e+16    7.34624303e-28     
   1.0000        1.0000e+18    5.9948e+16    7.34624303e-28     
   1.0000        1.0000e+18    1.0000e+17    7.34624303e-28     
   1.0000        1.6681e+18    1.0000e+15    1.04113674e-27     
   1.0000        1.6681e+18    1.6681e+15    1.04113674e-27     
   1.0000        1.6681e+18    2.7826e+15    1.04113674e-27     
   1.0000        1.6681e+18    4.6416e+15    1.04113674e-27     
   1.0000        1.6681e+18    7.7426e+15    1.04113674e-27     
   1.0000        1.6681e+18    1.2915e+16    1.04113674e-27     
   1.0000        1.6681e+18    2.1544e+16    1.04113674e-27     
   1.0000        1.6681e+18    3.5938e+16    1.04113674e-27     
   1.0000        1.6681e+18    5.9948e+16    1.04113674e-27     
   1.0000        1.6681e+18    1.0000e+17    1.04113674e-27     
   1.0000        2.7826e+18    1.0000e+15    1.46580808e-27     
   1.0000        2.7826e+18    1.6681e+15    1.46580808e-27     
   1.0000        2.7826e+18    2.7826e+15    1.46580808e-27     
   1.0000        2.7826e+18    4.6416e+15    1.46580808e-27     
   1.0000        2.7826e+18    7.7426e+15    1.46580808e-27     
   1.0000        2.7826e+18    1.2915e+16    1.46580808e-27     
   1.0000        2.7826e+18    2.1544e+16    1.46580808e-27     
   1.0000        2.7826e+18    3.5938e+16    1.46580808e-27     
   1.0000        2.7826e+18    5.9948e+16    1.46580808e-27     
   1.0000        2.7826e+18    1.0000e+17    1.46580808e-27     
   1.0000        4.6416e+18    1.0000e+15    2.05714948e-27     
   1.0000        4.6416e+18    1.6681e+15    2.05714948e-27     
   1.0000        4.6416e+18    2.7826e+15    2.05714948e-27     
   1.0000        4.6416e+18    4.6416e+15    2.05714948e-27     
   1.0000        4.6416e+18    7.7426e+15    2.05714948e-27     
   1.0000        4.6416e+18    1.2915e+16    2.05714948e-27     
   1.0000        4.6416e+18    2.1544e+16    2.05714948e-27     
   1.0000        4.6416e+18    3.5938e+16    2.05714948e-27     
   1.0000        4.6416e+18    5.9948e+16    2.05714948e-27     
   1.0000        4.6416e+18    1.0000e+17    2.05714948e-27     
   1.0000        7.7426e+18    1.0000e+15    2.87899004e-27     
   1.0000        7.7426e+18    1.6681e+15    2.87899004e-27     
   1.0000        7.7426e+18    2.7826e+15    2.87899004e-27     
   1.0000        7.7426e+18    4.6416e+15    2.87899004e-27     
   1.0000        7.7426e+18    7.7426e+15    2.87899004e-27     
   1.0000        7.7426e+18    1.2915e+16    2.87899004e-27     
   1.0000        7.7426e+18    2.1544e+16    2.87899004e-27     
   1.0000        7.7426e+18    3.5938e+16    2.87899004e-27     
   1.0000        7.7426e+18    5.9948e+16    2.87899004e-27     
   1.0000        7.7426e+18    1.0000e+17    2.87899004e-27     
   1.0000        1.2915e+19    1.0000e+15    4.00306491e-27     
   1.0000        1.2915e+19    1.6681e+15    4.00306491e-27     
   1.0000        1.2915e+19    2.7826e+15    4.00306491e-27     
