#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=2.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 08:32:37
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(2)' coupled to the particle 'H3+'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_i3: Fixed value 2000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_i3: 10 calculated values between 1.0000e+15 and 1.0000e+17

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_i3          POP_COEFF      
   10.0000       2.1544e+19    1.2915e+16    7.10803487e-24     
   10.0000       2.1544e+19    2.1544e+16    7.10803487e-24     
   10.0000       2.1544e+19    3.5938e+16    7.10803487e-24     
   10.0000       2.1544e+19    5.9948e+16    7.10803487e-24     
   10.0000       2.1544e+19    1.0000e+17    7.10803487e-24     
   10.0000       3.5938e+19    1.0000e+15    6.92097507e-24     
   10.0000       3.5938e+19    1.6681e+15    6.92097507e-24     
   10.0000       3.5938e+19    2.7826e+15    6.92097507e-24     
   10.0000       3.5938e+19    4.6416e+15    6.92097507e-24     
   10.0000       3.5938e+19    7.7426e+15    6.92097507e-24     
   10.0000       3.5938e+19    1.2915e+16    6.92097507e-24     
   10.0000       3.5938e+19    2.1544e+16    6.92097507e-24     
   10.0000       3.5938e+19    3.5938e+16    6.92097507e-24     
   10.0000       3.5938e+19    5.9948e+16    6.92097507e-24     
   10.0000       3.5938e+19    1.0000e+17    6.92097507e-24     
   10.0000       5.9948e+19    1.0000e+15    6.62437997e-24     
   10.0000       5.9948e+19    1.6681e+15    6.62437997e-24     
   10.0000       5.9948e+19    2.7826e+15    6.62437997e-24     
   10.0000       5.9948e+19    4.6416e+15    6.62437997e-24     
   10.0000       5.9948e+19    7.7426e+15    6.62437997e-24     
   10.0000       5.9948e+19    1.2915e+16    6.62437997e-24     
   10.0000       5.9948e+19    2.1544e+16    6.62437997e-24     
   10.0000       5.9948e+19    3.5938e+16    6.62437997e-24     
   10.0000       5.9948e+19    5.9948e+16    6.62437997e-24     
   10.0000       5.9948e+19    1.0000e+17    6.62437997e-24     
   10.0000       1.0000e+20    1.0000e+15    6.17794504e-24     
   10.0000       1.0000e+20    1.6681e+15    6.17794504e-24     
   10.0000       1.0000e+20    2.7826e+15    6.17794504e-24     
   10.0000       1.0000e+20    4.6416e+15    6.17794504e-24     
   10.0000       1.0000e+20    7.7426e+15    6.17794504e-24     
   10.0000       1.0000e+20    1.2915e+16    6.17794504e-24     
   10.0000       1.0000e+20    2.1544e+16    6.17794504e-24     
   10.0000       1.0000e+20    3.5938e+16    6.17794504e-24     
   10.0000       1.0000e+20    5.9948e+16    6.17794504e-24     
   10.0000       1.0000e+20    1.0000e+17    6.17794504e-24     
