#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=3.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 08:15:18
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(3)' coupled to the particle 'H2+'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_i2: 10 calculated values between 1.0000e+15 and 1.0000e+17

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_i2          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+15    3.67467129e-22     
   1.0000        1.0000e+18    1.6681e+15    3.67467129e-22     
   1.0000        1.0000e+18    2.7826e+15    3.67467129e-22     
   1.0000        1.0000e+18    4.6416e+15    3.67467129e-22     
   1.0000        1.0000e+18    7.7426e+15    3.67467129e-22     
   1.0000        1.0000e+18    1.2915e+16    3.67467129e-22     
   1.0000        1.0000e+18    2.1544e+16    3.67467129e-22     
   1.0000        1.0000e+18    3.5938e+16    3.67467129e-22     
   1.0000        1.0000e+18    5.9948e+16    3.67467129e-22     
   1.0000        1.0000e+18    1.0000e+17    3.67467129e-22     
   1.0000        1.6681e+18    1.0000e+15    3.59822554e-22     
   1.0000        1.6681e+18    1.6681e+15    3.59822554e-22     
   1.0000        1.6681e+18    2.7826e+15    3.59822554e-22     
   1.0000        1.6681e+18    4.6416e+15    3.59822554e-22     
   1.0000        1.6681e+18    7.7426e+15    3.59822554e-22     
   1.0000        1.6681e+18    1.2915e+16    3.59822554e-22     
   1.0000        1.6681e+18    2.1544e+16    3.59822554e-22     
   1.0000        1.6681e+18    3.5938e+16    3.59822554e-22     
   1.0000        1.6681e+18    5.9948e+16    3.59822554e-22     
   1.0000        1.6681e+18    1.0000e+17    3.59822554e-22     
   1.0000        2.7826e+18    1.0000e+15    3.49617476e-22     
   1.0000        2.7826e+18    1.6681e+15    3.49617476e-22     
   1.0000        2.7826e+18    2.7826e+15    3.49617476e-22     
   1.0000        2.7826e+18    4.6416e+15    3.49617476e-22     
   1.0000        2.7826e+18    7.7426e+15    3.49617476e-22     
   1.0000        2.7826e+18    1.2915e+16    3.49617476e-22     
   1.0000        2.7826e+18    2.1544e+16    3.49617476e-22     
   1.0000        2.7826e+18    3.5938e+16    3.49617476e-22     
   1.0000        2.7826e+18    5.9948e+16    3.49617476e-22     
   1.0000        2.7826e+18    1.0000e+17    3.49617476e-22     
   1.0000        4.6416e+18    1.0000e+15    3.35783419e-22     
   1.0000        4.6416e+18    1.6681e+15    3.35783419e-22     
   1.0000        4.6416e+18    2.7826e+15    3.35783419e-22     
   1.0000        4.6416e+18    4.6416e+15    3.35783419e-22     
   1.0000        4.6416e+18    7.7426e+15    3.35783419e-22     
   1.0000        4.6416e+18    1.2915e+16    3.35783419e-22     
   1.0000        4.6416e+18    2.1544e+16    3.35783419e-22     
   1.0000        4.6416e+18    3.5938e+16    3.35783419e-22     
   1.0000        4.6416e+18    5.9948e+16    3.35783419e-22     
   1.0000        4.6416e+18    1.0000e+17    3.35783419e-22     
   1.0000        7.7426e+18    1.0000e+15    3.16924411e-22     
   1.0000        7.7426e+18    1.6681e+15    3.16924411e-22     
   1.0000        7.7426e+18    2.7826e+15    3.16924411e-22     
   1.0000        7.7426e+18    4.6416e+15    3.16924411e-22     
   1.0000        7.7426e+18    7.7426e+15    3.16924411e-22     
   1.0000        7.7426e+18    1.2915e+16    3.16924411e-22     
   1.0000        7.7426e+18    2.1544e+16    3.16924411e-22     
   1.0000        7.7426e+18    3.5938e+16    3.16924411e-22     
   1.0000        7.7426e+18    5.9948e+16    3.16924411e-22     
   1.0000        7.7426e+18    1.0000e+17    3.16924411e-22     
   1.0000        1.2915e+19    1.0000e+15    2.91439781e-22     
   1.0000        1.2915e+19    1.6681e+15    2.91439781e-22     
   1.0000        1.2915e+19    2.7826e+15    2.91439781e-22     
   1.0000        1.2915e+19    4.6416e+15    2.91439781e-22     
   1.0000        1.2915e+19    7.7426e+15    2.91439781e-22     
   1.0000        1.2915e+19    1.2915e+16    2.91439781e-22     
   1.0000        1.2915e+19    2.1544e+16    2.91439781e-22     
   1.0000        1.2915e+19    3.5938e+16    2.91439781e-22     
