#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=2.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 07:58:44
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(2)' coupled to the particle 'H2'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_n2: 10 calculated values between 1.0000e+18 and 1.0000e+20

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_n2          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+18    7.65369021e-31     
   1.0000        1.0000e+18    1.6681e+18    7.65369021e-31     
   1.0000        1.0000e+18    2.7826e+18    7.65369021e-31     
   1.0000        1.0000e+18    4.6416e+18    7.65369021e-31     
   1.0000        1.0000e+18    7.7426e+18    7.65369021e-31     
   1.0000        1.0000e+18    1.2915e+19    7.65369021e-31     
   1.0000        1.0000e+18    2.1544e+19    7.65369021e-31     
   1.0000        1.0000e+18    3.5938e+19    7.65369021e-31     
   1.0000        1.0000e+18    5.9948e+19    7.65369021e-31     
   1.0000        1.0000e+18    1.0000e+20    7.65369021e-31     
   1.0000        1.6681e+18    1.0000e+18    7.64945710e-31     
   1.0000        1.6681e+18    1.6681e+18    7.64945710e-31     
   1.0000        1.6681e+18    2.7826e+18    7.64945710e-31     
   1.0000        1.6681e+18    4.6416e+18    7.64945710e-31     
   1.0000        1.6681e+18    7.7426e+18    7.64945710e-31     
   1.0000        1.6681e+18    1.2915e+19    7.64945710e-31     
   1.0000        1.6681e+18    2.1544e+19    7.64945710e-31     
   1.0000        1.6681e+18    3.5938e+19    7.64945710e-31     
   1.0000        1.6681e+18    5.9948e+19    7.64945710e-31     
   1.0000        1.6681e+18    1.0000e+20    7.64945710e-31     
   1.0000        2.7826e+18    1.0000e+18    7.64355202e-31     
   1.0000        2.7826e+18    1.6681e+18    7.64355202e-31     
   1.0000        2.7826e+18    2.7826e+18    7.64355202e-31     
   1.0000        2.7826e+18    4.6416e+18    7.64355202e-31     
   1.0000        2.7826e+18    7.7426e+18    7.64355202e-31     
   1.0000        2.7826e+18    1.2915e+19    7.64355202e-31     
   1.0000        2.7826e+18    2.1544e+19    7.64355202e-31     
   1.0000        2.7826e+18    3.5938e+19    7.64355202e-31     
   1.0000        2.7826e+18    5.9948e+19    7.64355202e-31     
   1.0000        2.7826e+18    1.0000e+20    7.64355202e-31     
   1.0000        4.6416e+18    1.0000e+18    7.63527692e-31     
   1.0000        4.6416e+18    1.6681e+18    7.63527692e-31     
   1.0000        4.6416e+18    2.7826e+18    7.63527692e-31     
   1.0000        4.6416e+18    4.6416e+18    7.63527692e-31     
   1.0000        4.6416e+18    7.7426e+18    7.63527692e-31     
   1.0000        4.6416e+18    1.2915e+19    7.63527692e-31     
   1.0000        4.6416e+18    2.1544e+19    7.63527692e-31     
   1.0000        4.6416e+18    3.5938e+19    7.63527692e-31     
   1.0000        4.6416e+18    5.9948e+19    7.63527692e-31     
   1.0000        4.6416e+18    1.0000e+20    7.63527692e-31     
   1.0000        7.7426e+18    1.0000e+18    7.62354397e-31     
   1.0000        7.7426e+18    1.6681e+18    7.62354397e-31     
