#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=2.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 08:50:25
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(2)' coupled to the particle 'H+'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_i1: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: 10 calculated values between 1.0000e+16 and 1.0000e+18

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_i1          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+16    5.33225682e-28     
   1.0000        1.0000e+18    1.6681e+16    5.33225682e-28     
   1.0000        1.0000e+18    2.7826e+16    5.33225682e-28     
   1.0000        1.0000e+18    4.6416e+16    5.33225682e-28     
   1.0000        1.0000e+18    7.7426e+16    5.33225682e-28     
   1.0000        1.0000e+18    1.2915e+17    5.33225682e-28     
   1.0000        1.0000e+18    2.1544e+17    5.33225682e-28     
   1.0000        1.0000e+18    3.5938e+17    5.33225682e-28     
   1.0000        1.0000e+18    5.9948e+17    5.33225682e-28     
   1.0000        1.0000e+18    1.0000e+18    5.33225682e-28     
   1.0000        1.6681e+18    1.0000e+16    5.82319554e-28     
   1.0000        1.6681e+18    1.6681e+16    5.82319554e-28     
   1.0000        1.6681e+18    2.7826e+16    5.82319554e-28     
   1.0000        1.6681e+18    4.6416e+16    5.82319554e-28     
   1.0000        1.6681e+18    7.7426e+16    5.82319554e-28     
   1.0000        1.6681e+18    1.2915e+17    5.82319554e-28     
   1.0000        1.6681e+18    2.1544e+17    5.82319554e-28     
   1.0000        1.6681e+18    3.5938e+17    5.82319554e-28     
   1.0000        1.6681e+18    5.9948e+17    5.82319554e-28     
   1.0000        1.6681e+18    1.0000e+18    5.82319554e-28     
