#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=5.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 10:25:46
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(5)' coupled to the particle 'H-'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_i1: Fixed value 8000.0000
#              T_i4: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_i4: 10 calculated values between 1.0000e+14 and 1.0000e+16

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_i4          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+14    5.32909834e-24     
   1.0000        1.0000e+18    1.6681e+14    5.32909834e-24     
   1.0000        1.0000e+18    2.7826e+14    5.32909834e-24     
   1.0000        1.0000e+18    4.6416e+14    5.32909834e-24     
   1.0000        1.0000e+18    7.7426e+14    5.32909834e-24     
   1.0000        1.0000e+18    1.2915e+15    5.32909834e-24     
   1.0000        1.0000e+18    2.1544e+15    5.32909834e-24     
   1.0000        1.0000e+18    3.5938e+15    5.32909834e-24     
   1.0000        1.0000e+18    5.9948e+15    5.32909834e-24     
   1.0000        1.0000e+18    1.0000e+16    5.32909834e-24     
   1.0000        1.6681e+18    1.0000e+14    7.47677340e-24     
   1.0000        1.6681e+18    1.6681e+14    7.47677340e-24     
   1.0000        1.6681e+18    2.7826e+14    7.47677340e-24     
   1.0000        1.6681e+18    4.6416e+14    7.47677340e-24     
   1.0000        1.6681e+18    7.7426e+14    7.47677340e-24     
   1.0000        1.6681e+18    1.2915e+15    7.47677340e-24     
   1.0000        1.6681e+18    2.1544e+15    7.47677340e-24     
   1.0000        1.6681e+18    3.5938e+15    7.47677340e-24     
   1.0000        1.6681e+18    5.9948e+15    7.47677340e-24     
   1.0000        1.6681e+18    1.0000e+16    7.47677340e-24     
   1.0000        2.7826e+18    1.0000e+14    9.92725517e-24     
   1.0000        2.7826e+18    1.6681e+14    9.92725517e-24     
   1.0000        2.7826e+18    2.7826e+14    9.92725517e-24     
   1.0000        2.7826e+18    4.6416e+14    9.92725517e-24     
   1.0000        2.7826e+18    7.7426e+14    9.92725517e-24     
   1.0000        2.7826e+18    1.2915e+15    9.92725517e-24     
   1.0000        2.7826e+18    2.1544e+15    9.92725517e-24     
   1.0000        2.7826e+18    3.5938e+15    9.92725517e-24     
   1.0000        2.7826e+18    5.9948e+15    9.92725517e-24     
   1.0000        2.7826e+18    1.0000e+16    9.92725517e-24     
   1.0000        4.6416e+18    1.0000e+14    1.23187722e-23     
   1.0000        4.6416e+18    1.6681e+14    1.23187722e-23     
   1.0000        4.6416e+18    2.7826e+14    1.23187722e-23     
   1.0000        4.6416e+18    4.6416e+14    1.23187722e-23     
   1.0000        4.6416e+18    7.7426e+14    1.23187722e-23     
   1.0000        4.6416e+18    1.2915e+15    1.23187722e-23     
   1.0000        4.6416e+18    2.1544e+15    1.23187722e-23     
   1.0000        4.6416e+18    3.5938e+15    1.23187722e-23     
   1.0000        4.6416e+18    5.9948e+15    1.23187722e-23     
   1.0000        4.6416e+18    1.0000e+16    1.23187722e-23     
   1.0000        7.7426e+18    1.0000e+14    1.41588773e-23     
   1.0000        7.7426e+18    1.6681e+14    1.41588773e-23     
   1.0000        7.7426e+18    2.7826e+14    1.41588773e-23     
   1.0000        7.7426e+18    4.6416e+14    1.41588773e-23     
   1.0000        7.7426e+18    7.7426e+14    1.41588773e-23     
   1.0000        7.7426e+18    1.2915e+15    1.41588773e-23     
   1.0000        7.7426e+18    2.1544e+15    1.41588773e-23     
   1.0000        7.7426e+18    3.5938e+15    1.41588773e-23     
   1.0000        7.7426e+18    5.9948e+15    1.41588773e-23     
   1.0000        7.7426e+18    1.0000e+16    1.41588773e-23     
   1.0000        1.2915e+19    1.0000e+14    1.50073516e-23     
   1.0000        1.2915e+19    1.6681e+14    1.50073516e-23     
   1.0000        1.2915e+19    2.7826e+14    1.50073516e-23     
   1.0000        1.2915e+19    4.6416e+14    1.50073516e-23     
   1.0000        1.2915e+19    7.7426e+14    1.50073516e-23     
   1.0000        1.2915e+19    1.2915e+15    1.50073516e-23     
   1.0000        1.2915e+19    2.1544e+15    1.50073516e-23     
   1.0000        1.2915e+19    3.5938e+15    1.50073516e-23     
   1.0000        1.2915e+19    5.9948e+15    1.50073516e-23     
   1.0000        1.2915e+19    1.0000e+16    1.50073516e-23     
   1.0000        2.1544e+19    1.0000e+14    1.46437009e-23     
   1.0000        2.1544e+19    1.6681e+14    1.46437009e-23     
   1.0000        2.1544e+19    2.7826e+14    1.46437009e-23     
   1.0000        2.1544e+19    4.6416e+14    1.46437009e-23     
   1.0000        2.1544e+19    7.7426e+14    1.46437009e-23     
   1.0000        2.1544e+19    1.2915e+15    1.46437009e-23     
   1.0000        2.1544e+19    2.1544e+15    1.46437009e-23     
   1.0000        2.1544e+19    3.5938e+15    1.46437009e-23     
   1.0000        2.1544e+19    5.9948e+15    1.46437009e-23     
   1.0000        2.1544e+19    1.0000e+16    1.46437009e-23     
   1.0000        3.5938e+19    1.0000e+14    1.31420511e-23     
   1.0000        3.5938e+19    1.6681e+14    1.31420511e-23     
   1.0000        3.5938e+19    2.7826e+14    1.31420511e-23     
   1.0000        3.5938e+19    4.6416e+14    1.31420511e-23     
   1.0000        3.5938e+19    7.7426e+14    1.31420511e-23     
   1.0000        3.5938e+19    1.2915e+15    1.31420511e-23     
   1.0000        3.5938e+19    2.1544e+15    1.31420511e-23     
   1.0000        3.5938e+19    3.5938e+15    1.31420511e-23     
