#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=6.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 10:25:46
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(6)' coupled to the particle 'H-'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_i1: Fixed value 8000.0000
#              T_i4: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_i4: 10 calculated values between 1.0000e+14 and 1.0000e+16

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_i4          POP_COEFF      
   1.0000        1.0000e+18    1.0000e+14    2.38495048e-24     
   1.0000        1.0000e+18    1.6681e+14    2.38495048e-24     
   1.0000        1.0000e+18    2.7826e+14    2.38495048e-24     
   1.0000        1.0000e+18    4.6416e+14    2.38495048e-24     
   1.0000        1.0000e+18    7.7426e+14    2.38495048e-24     
   1.0000        1.0000e+18    1.2915e+15    2.38495048e-24     
   1.0000        1.0000e+18    2.1544e+15    2.38495048e-24     
   1.0000        1.0000e+18    3.5938e+15    2.38495048e-24     
   1.0000        1.0000e+18    5.9948e+15    2.38495048e-24     
   1.0000        1.0000e+18    1.0000e+16    2.38495048e-24     
   1.0000        1.6681e+18    1.0000e+14    3.24477357e-24     
   1.0000        1.6681e+18    1.6681e+14    3.24477357e-24     
   1.0000        1.6681e+18    2.7826e+14    3.24477357e-24     
   1.0000        1.6681e+18    4.6416e+14    3.24477357e-24     
   1.0000        1.6681e+18    7.7426e+14    3.24477357e-24     
   1.0000        1.6681e+18    1.2915e+15    3.24477357e-24     
   1.0000        1.6681e+18    2.1544e+15    3.24477357e-24     
   1.0000        1.6681e+18    3.5938e+15    3.24477357e-24     
   1.0000        1.6681e+18    5.9948e+15    3.24477357e-24     
   1.0000        1.6681e+18    1.0000e+16    3.24477357e-24     
   1.0000        2.7826e+18    1.0000e+14    4.21904245e-24     
   1.0000        2.7826e+18    1.6681e+14    4.21904245e-24     
   1.0000        2.7826e+18    2.7826e+14    4.21904245e-24     
   1.0000        2.7826e+18    4.6416e+14    4.21904245e-24     
   1.0000        2.7826e+18    7.7426e+14    4.21904245e-24     
   1.0000        2.7826e+18    1.2915e+15    4.21904245e-24     
   1.0000        2.7826e+18    2.1544e+15    4.21904245e-24     
   1.0000        2.7826e+18    3.5938e+15    4.21904245e-24     
   1.0000        2.7826e+18    5.9948e+15    4.21904245e-24     
   1.0000        2.7826e+18    1.0000e+16    4.21904245e-24     
   1.0000        4.6416e+18    1.0000e+14    5.16421910e-24     
   1.0000        4.6416e+18    1.6681e+14    5.16421910e-24     
   1.0000        4.6416e+18    2.7826e+14    5.16421910e-24     
   1.0000        4.6416e+18    4.6416e+14    5.16421910e-24     
   1.0000        4.6416e+18    7.7426e+14    5.16421910e-24     
   1.0000        4.6416e+18    1.2915e+15    5.16421910e-24     
   1.0000        4.6416e+18    2.1544e+15    5.16421910e-24     
   1.0000        4.6416e+18    3.5938e+15    5.16421910e-24     
   1.0000        4.6416e+18    5.9948e+15    5.16421910e-24     
   1.0000        4.6416e+18    1.0000e+16    5.16421910e-24     
   1.0000        7.7426e+18    1.0000e+14    5.88416391e-24     
   1.0000        7.7426e+18    1.6681e+14    5.88416391e-24     
   1.0000        7.7426e+18    2.7826e+14    5.88416391e-24     
   1.0000        7.7426e+18    4.6416e+14    5.88416391e-24     
   1.0000        7.7426e+18    7.7426e+14    5.88416391e-24     
   1.0000        7.7426e+18    1.2915e+15    5.88416391e-24     
   1.0000        7.7426e+18    2.1544e+15    5.88416391e-24     
   1.0000        7.7426e+18    3.5938e+15    5.88416391e-24     
   1.0000        7.7426e+18    5.9948e+15    5.88416391e-24     
   1.0000        7.7426e+18    1.0000e+16    5.88416391e-24     
   1.0000        1.2915e+19    1.0000e+14    6.20305684e-24     
   1.0000        1.2915e+19    1.6681e+14    6.20305684e-24     
   1.0000        1.2915e+19    2.7826e+14    6.20305684e-24     
   1.0000        1.2915e+19    4.6416e+14    6.20305684e-24     
   1.0000        1.2915e+19    7.7426e+14    6.20305684e-24     
   1.0000        1.2915e+19    1.2915e+15    6.20305684e-24     
   1.0000        1.2915e+19    2.1544e+15    6.20305684e-24     
   1.0000        1.2915e+19    3.5938e+15    6.20305684e-24     
   1.0000        1.2915e+19    5.9948e+15    6.20305684e-24     
   1.0000        1.2915e+19    1.0000e+16    6.20305684e-24     
   1.0000        2.1544e+19    1.0000e+14    6.03264443e-24     
   1.0000        2.1544e+19    1.6681e+14    6.03264443e-24     
   1.0000        2.1544e+19    2.7826e+14    6.03264443e-24     
