#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_n=2.dat'
#   Date of creation: 11. May 2022
#   Time of creation: 10:25:46
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(2)' coupled to the particle 'H-'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 10 calculated values between 1.0000 and 10.0000
#              T_i1: Fixed value 8000.0000
#              T_i4: Fixed value 8000.0000
#              T_n1: Fixed value 8000.0000
#              n_e: 10 calculated values between 1.0000e+18 and 1.0000e+20
#              n_i1: Fixed value 0.0000
#              n_i4: 10 calculated values between 1.0000e+14 and 1.0000e+16

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           n_i4          POP_COEFF      
   7.7426        2.7826e+18    5.9948e+15    4.18595741e-23     
   7.7426        2.7826e+18    1.0000e+16    4.18595741e-23     
   7.7426        4.6416e+18    1.0000e+14    3.92450164e-23     
   7.7426        4.6416e+18    1.6681e+14    3.92450164e-23     
   7.7426        4.6416e+18    2.7826e+14    3.92450164e-23     
   7.7426        4.6416e+18    4.6416e+14    3.92450164e-23     
   7.7426        4.6416e+18    7.7426e+14    3.92450164e-23     
   7.7426        4.6416e+18    1.2915e+15    3.92450164e-23     
   7.7426        4.6416e+18    2.1544e+15    3.92450164e-23     
   7.7426        4.6416e+18    3.5938e+15    3.92450164e-23     
   7.7426        4.6416e+18    5.9948e+15    3.92450164e-23     
   7.7426        4.6416e+18    1.0000e+16    3.92450164e-23     
   7.7426        7.7426e+18    1.0000e+14    3.55198984e-23     
   7.7426        7.7426e+18    1.6681e+14    3.55198984e-23     
   7.7426        7.7426e+18    2.7826e+14    3.55198984e-23     
   7.7426        7.7426e+18    4.6416e+14    3.55198984e-23     
   7.7426        7.7426e+18    7.7426e+14    3.55198984e-23     
   7.7426        7.7426e+18    1.2915e+15    3.55198984e-23     
   7.7426        7.7426e+18    2.1544e+15    3.55198984e-23     
   7.7426        7.7426e+18    3.5938e+15    3.55198984e-23     
   7.7426        7.7426e+18    5.9948e+15    3.55198984e-23     
   7.7426        7.7426e+18    1.0000e+16    3.55198984e-23     
   7.7426        1.2915e+19    1.0000e+14    3.07999649e-23     
   7.7426        1.2915e+19    1.6681e+14    3.07999649e-23     
   7.7426        1.2915e+19    2.7826e+14    3.07999649e-23     
   7.7426        1.2915e+19    4.6416e+14    3.07999649e-23     
   7.7426        1.2915e+19    7.7426e+14    3.07999649e-23     
   7.7426        1.2915e+19    1.2915e+15    3.07999649e-23     
   7.7426        1.2915e+19    2.1544e+15    3.07999649e-23     
   7.7426        1.2915e+19    3.5938e+15    3.07999649e-23     
   7.7426        1.2915e+19    5.9948e+15    3.07999649e-23     
   7.7426        1.2915e+19    1.0000e+16    3.07999649e-23     
   7.7426        2.1544e+19    1.0000e+14    2.55343544e-23     
   7.7426        2.1544e+19    1.6681e+14    2.55343544e-23     
   7.7426        2.1544e+19    2.7826e+14    2.55343544e-23     
   7.7426        2.1544e+19    4.6416e+14    2.55343544e-23     
   7.7426        2.1544e+19    7.7426e+14    2.55343544e-23     
   7.7426        2.1544e+19    1.2915e+15    2.55343544e-23     
   7.7426        2.1544e+19    2.1544e+15    2.55343544e-23     
   7.7426        2.1544e+19    3.5938e+15    2.55343544e-23     
   7.7426        2.1544e+19    5.9948e+15    2.55343544e-23     
   7.7426        2.1544e+19    1.0000e+16    2.55343544e-23     
   7.7426        3.5938e+19    1.0000e+14    2.03655248e-23     
   7.7426        3.5938e+19    1.6681e+14    2.03655248e-23     
   7.7426        3.5938e+19    2.7826e+14    2.03655248e-23     
   7.7426        3.5938e+19    4.6416e+14    2.03655248e-23     
   7.7426        3.5938e+19    7.7426e+14    2.03655248e-23     
   7.7426        3.5938e+19    1.2915e+15    2.03655248e-23     
   7.7426        3.5938e+19    2.1544e+15    2.03655248e-23     
   7.7426        3.5938e+19    3.5938e+15    2.03655248e-23     
   7.7426        3.5938e+19    5.9948e+15    2.03655248e-23     
   7.7426        3.5938e+19    1.0000e+16    2.03655248e-23     
   7.7426        5.9948e+19    1.0000e+14    1.58331342e-23     
   7.7426        5.9948e+19    1.6681e+14    1.58331342e-23     
   7.7426        5.9948e+19    2.7826e+14    1.58331342e-23     
   7.7426        5.9948e+19    4.6416e+14    1.58331342e-23     
   7.7426        5.9948e+19    7.7426e+14    1.58331342e-23     
   7.7426        5.9948e+19    1.2915e+15    1.58331342e-23     
   7.7426        5.9948e+19    2.1544e+15    1.58331342e-23     
   7.7426        5.9948e+19    3.5938e+15    1.58331342e-23     
   7.7426        5.9948e+19    5.9948e+15    1.58331342e-23     
   7.7426        5.9948e+19    1.0000e+16    1.58331342e-23     
   7.7426        1.0000e+20    1.0000e+14    1.21650722e-23     
   7.7426        1.0000e+20    1.6681e+14    1.21650722e-23     
   7.7426        1.0000e+20    2.7826e+14    1.21650722e-23     
   7.7426        1.0000e+20    4.6416e+14    1.21650722e-23     
   7.7426        1.0000e+20    7.7426e+14    1.21650722e-23     
   7.7426        1.0000e+20    1.2915e+15    1.21650722e-23     
   7.7426        1.0000e+20    2.1544e+15    1.21650722e-23     
   7.7426        1.0000e+20    3.5938e+15    1.21650722e-23     
   7.7426        1.0000e+20    5.9948e+15    1.21650722e-23     
   7.7426        1.0000e+20    1.0000e+16    1.21650722e-23     
   10.0000       1.0000e+18    1.0000e+14    4.44416445e-23     
   10.0000       1.0000e+18    1.6681e+14    4.44416445e-23     
   10.0000       1.0000e+18    2.7826e+14    4.44416445e-23     
   10.0000       1.0000e+18    4.6416e+14    4.44416445e-23     
   10.0000       1.0000e+18    7.7426e+14    4.44416445e-23     
   10.0000       1.0000e+18    1.2915e+15    4.44416445e-23     
   10.0000       1.0000e+18    2.1544e+15    4.44416445e-23     
   10.0000       1.0000e+18    3.5938e+15    4.44416445e-23     
   10.0000       1.0000e+18    5.9948e+15    4.44416445e-23     
   10.0000       1.0000e+18    1.0000e+16    4.44416445e-23     
   10.0000       1.6681e+18    1.0000e+14    4.34628060e-23     
   10.0000       1.6681e+18    1.6681e+14    4.34628060e-23     
   10.0000       1.6681e+18    2.7826e+14    4.34628060e-23     
   10.0000       1.6681e+18    4.6416e+14    4.34628060e-23     
   10.0000       1.6681e+18    7.7426e+14    4.34628060e-23     
   10.0000       1.6681e+18    1.2915e+15    4.34628060e-23     
   10.0000       1.6681e+18    2.1544e+15    4.34628060e-23     
   10.0000       1.6681e+18    3.5938e+15    4.34628060e-23     
   10.0000       1.6681e+18    5.9948e+15    4.34628060e-23     
   10.0000       1.6681e+18    1.0000e+16    4.34628060e-23     
   10.0000       2.7826e+18    1.0000e+14    4.17727675e-23     
   10.0000       2.7826e+18    1.6681e+14    4.17727675e-23     
   10.0000       2.7826e+18    2.7826e+14    4.17727675e-23     
   10.0000       2.7826e+18    4.6416e+14    4.17727675e-23     
   10.0000       2.7826e+18    7.7426e+14    4.17727675e-23     
   10.0000       2.7826e+18    1.2915e+15    4.17727675e-23     
   10.0000       2.7826e+18    2.1544e+15    4.17727675e-23     
   10.0000       2.7826e+18    3.5938e+15    4.17727675e-23     
   10.0000       2.7826e+18    5.9948e+15    4.17727675e-23     
   10.0000       2.7826e+18    1.0000e+16    4.17727675e-23     
   10.0000       4.6416e+18    1.0000e+14    3.91067932e-23     
   10.0000       4.6416e+18    1.6681e+14    3.91067932e-23     
   10.0000       4.6416e+18    2.7826e+14    3.91067932e-23     
   10.0000       4.6416e+18    4.6416e+14    3.91067932e-23     
   10.0000       4.6416e+18    7.7426e+14    3.91067932e-23     
   10.0000       4.6416e+18    1.2915e+15    3.91067932e-23     
   10.0000       4.6416e+18    2.1544e+15    3.91067932e-23     
   10.0000       4.6416e+18    3.5938e+15    3.91067932e-23     
   10.0000       4.6416e+18    5.9948e+15    3.91067932e-23     
   10.0000       4.6416e+18    1.0000e+16    3.91067932e-23     
   10.0000       7.7426e+18    1.0000e+14    3.53215933e-23     
   10.0000       7.7426e+18    1.6681e+14    3.53215933e-23     
   10.0000       7.7426e+18    2.7826e+14    3.53215933e-23     
   10.0000       7.7426e+18    4.6416e+14    3.53215933e-23     
   10.0000       7.7426e+18    7.7426e+14    3.53215933e-23     
   10.0000       7.7426e+18    1.2915e+15    3.53215933e-23     
   10.0000       7.7426e+18    2.1544e+15    3.53215933e-23     
   10.0000       7.7426e+18    3.5938e+15    3.53215933e-23     
   10.0000       7.7426e+18    5.9948e+15    3.53215933e-23     
   10.0000       7.7426e+18    1.0000e+16    3.53215933e-23     
   10.0000       1.2915e+19    1.0000e+14    3.05467435e-23     
   10.0000       1.2915e+19    1.6681e+14    3.05467435e-23     
   10.0000       1.2915e+19    2.7826e+14    3.05467435e-23     
   10.0000       1.2915e+19    4.6416e+14    3.05467435e-23     
   10.0000       1.2915e+19    7.7426e+14    3.05467435e-23     
   10.0000       1.2915e+19    1.2915e+15    3.05467435e-23     
   10.0000       1.2915e+19    2.1544e+15    3.05467435e-23     
   10.0000       1.2915e+19    3.5938e+15    3.05467435e-23     
   10.0000       1.2915e+19    5.9948e+15    3.05467435e-23     
   10.0000       1.2915e+19    1.0000e+16    3.05467435e-23     
   10.0000       2.1544e+19    1.0000e+14    2.52463682e-23     
   10.0000       2.1544e+19    1.6681e+14    2.52463682e-23     
   10.0000       2.1544e+19    2.7826e+14    2.52463682e-23     
   10.0000       2.1544e+19    4.6416e+14    2.52463682e-23     
   10.0000       2.1544e+19    7.7426e+14    2.52463682e-23     
   10.0000       2.1544e+19    1.2915e+15    2.52463682e-23     
   10.0000       2.1544e+19    2.1544e+15    2.52463682e-23     
   10.0000       2.1544e+19    3.5938e+15    2.52463682e-23     
   10.0000       2.1544e+19    5.9948e+15    2.52463682e-23     
   10.0000       2.1544e+19    1.0000e+16    2.52463682e-23     
   10.0000       3.5938e+19    1.0000e+14    2.00681860e-23     
   10.0000       3.5938e+19    1.6681e+14    2.00681860e-23     
   10.0000       3.5938e+19    2.7826e+14    2.00681860e-23     
   10.0000       3.5938e+19    4.6416e+14    2.00681860e-23     
   10.0000       3.5938e+19    7.7426e+14    2.00681860e-23     
   10.0000       3.5938e+19    1.2915e+15    2.00681860e-23     
   10.0000       3.5938e+19    2.1544e+15    2.00681860e-23     
   10.0000       3.5938e+19    3.5938e+15    2.00681860e-23     
   10.0000       3.5938e+19    5.9948e+15    2.00681860e-23     
   10.0000       3.5938e+19    1.0000e+16    2.00681860e-23     
   10.0000       5.9948e+19    1.0000e+14    1.55440429e-23     
   10.0000       5.9948e+19    1.6681e+14    1.55440429e-23     
   10.0000       5.9948e+19    2.7826e+14    1.55440429e-23     
   10.0000       5.9948e+19    4.6416e+14    1.55440429e-23     
   10.0000       5.9948e+19    7.7426e+14    1.55440429e-23     
   10.0000       5.9948e+19    1.2915e+15    1.55440429e-23     
   10.0000       5.9948e+19    2.1544e+15    1.55440429e-23     
   10.0000       5.9948e+19    3.5938e+15    1.55440429e-23     
   10.0000       5.9948e+19    5.9948e+15    1.55440429e-23     
   10.0000       5.9948e+19    1.0000e+16    1.55440429e-23     
   10.0000       1.0000e+20    1.0000e+14    1.18893138e-23     
   10.0000       1.0000e+20    1.6681e+14    1.18893138e-23     
   10.0000       1.0000e+20    2.7826e+14    1.18893138e-23     
   10.0000       1.0000e+20    4.6416e+14    1.18893138e-23     
   10.0000       1.0000e+20    7.7426e+14    1.18893138e-23     
   10.0000       1.0000e+20    1.2915e+15    1.18893138e-23     
   10.0000       1.0000e+20    2.1544e+15    1.18893138e-23     
   10.0000       1.0000e+20    3.5938e+15    1.18893138e-23     
   10.0000       1.0000e+20    5.9948e+15    1.18893138e-23     
   10.0000       1.0000e+20    1.0000e+16    1.18893138e-23     
